core,depth_m,age_calBP,CO2_blank_corrected,CO2_blank_gravity_corrected,CO2_se_1sigma,notes
wais,1963.35,11377,274.58,273.1,2.52,MBB2014
wais,1965.24,11393.12,272.64,271.17,0.85,MBB2014
wais,1967.24,11410.25,273.14,271.66,1.15,MBB2014
wais,1969.24,11427.43,275,273.51,0.85,MBB2014
wais,1971.46,11446.48,272.37,270.9,0.66,MBB2014
wais,1973.24,11461.55,268.19,266.74,1.42,MBB2014
wais,1975.24,11478.62,272.57,271.09,0.5,MBB2014
wais,1977.25,11494.79,266.14,264.7,0.29,MBB2014
wais,1979.24,11511.3,266.75,265.3,1.52,MBB2014
wais,1981.25,11529.24,271.69,270.22,2.41,MBB2014
wais,1983.39,11547.88,262.56,261.13,1.34,MBB2014
wais,1985.24,11565.41,252.92,251.55,0.34,MBB2014
wais,1987.25,11584.2,260.02,258.62,0.88,MBB2014
wais,1989.25,11602.34,259.39,257.99,1.46,MBB2014
wais,1991.25,11621.28,261.46,260.04,1.26,MBB2014
wais,1993.26,11641.4,261.31,259.89,1.4,MBB2014
wais,1995.25,11660.6,264.17,262.74,1.48,MBB2014
wais,1997.25,11680.6,263.68,262.25,0.33,MBB2014
wais,1999.48,11703.91,263.96,262.53,1.78,MBB2014
wais,2001.26,11722.34,262.59,261.17,1.48,MBB2014
wais,2003.36,11744.11,259.72,258.31,1.34,MBB2014
wais,2005.26,11764.44,259.03,257.63,1.59,MBB2014
wais,2007.25,11785.52,256.95,255.56,0.58,MBB2014
wais,2009.25,11806.86,261.31,259.9,1.16,MBB2014
wais,2011.25,11828.7,264,262.57,5.26,MBB2014
wais,2013.27,11850.1,254.28,252.9,2.05,MBB2014
wais,2015.24,11872.74,259.4,257.99,1.3,MBB2014
wais,2017.26,11894.81,260.8,259.39,1.39,MBB2014
wais,2019.26,11918.3,253.22,251.85,1.45,MBB2014
wais,2021.26,11940.38,253.78,252.41,0.35,MBB2014
wais,2023.36,11963.18,258.5,257.1,0.7,MBB2014
wais,2025.27,11984.37,256.42,255.03,2.57,MBB2014
wais,2027.26,12006.75,261.07,259.66,1.99,MBB2014
wais,2029.26,12028.43,258.42,257.02,0.87,MBB2014
wais,2031.26,12050.75,256.53,255.14,1.41,MBB2014
wais,2033.28,12073.3,256.81,255.42,0.85,MBB2014
wais,2035.26,12095.44,256.36,254.97,0.73,MBB2014
wais,2037.26,12116.68,255.03,253.65,1.23,MBB2014
wais,2039.26,12138.68,254.61,253.23,1.6,MBB2014
wais,2041.21,12159.58,254.33,252.95,1.48,MBB2014
wais,2043.36,12183.72,254.76,253.38,1.33,MBB2014
wais,2045.26,12204.33,254.3,252.92,0.29,MBB2014
wais,2047.26,12226.9,256.12,254.73,1.37,MBB2014
wais,2049.26,12248.48,252.33,250.97,0.76,MBB2014
wais,2051.26,12270.31,249.66,248.31,1.16,MBB2014
wais,2053.26,12292.3,248.35,247,1.21,MBB2014
wais,2055.27,12314.29,251.77,250.4,1.45,MBB2014
wais,2057.26,12336.34,253.04,251.67,0.82,MBB2014
wais,2059.25,12358.44,251.19,249.83,0.56,MBB2014
wais,2061.25,12380.37,251.54,250.18,0.79,MBB2014
wais,2063.25,12402.77,249.77,248.42,1.18,MBB2014
wais,2065.26,12425.81,252.1,250.74,1.29,MBB2014
wais,2067.25,12447.22,255.3,253.92,1.72,MBB2014
wais,2069.26,12468.65,249.63,248.27,1.21,MBB2014
wais,2071.25,12490.88,252.38,251.02,0.27,MBB2014
wais,2073.26,12513.55,253.46,252.09,1.18,MBB2014
wais,2075.25,12535.95,252.31,250.94,0.45,MBB2014
wais,2077.37,12559.27,249.3,247.95,1.68,MBB2014
wais,2079.26,12580.09,247.87,246.53,0.96,MBB2014
wais,2081.26,12602.24,249.59,248.24,0.96,MBB2014
wais,2083.36,12625.38,246.93,245.59,1.07,MBB2014
wais,2085.26,12646.39,252.67,251.3,0.41,MBB2014
wais,2087.26,12668.27,245.35,244.02,1.12,MBB2014
wais,2089.25,12690.48,246.83,245.5,2.09,MBB2014
wais,2091.25,12711.55,247.57,246.23,1.95,MBB2014
wais,2093.29,12733.57,247.49,246.15,1.34,MBB2014
wais,2095.25,12754.78,244.64,243.32,1.29,MBB2014
wais,2097.25,12775.85,246.53,245.2,1.3,MBB2014
wais,2099.25,12797.03,244.73,243.41,0.8,MBB2014
wais,2101.26,12818.02,244.08,242.76,1.12,MBB2014
wais,2103.28,12838.96,243.46,242.14,2.82,MBB2014
wais,2105.25,12859.66,246.01,244.68,0.96,MBB2014
wais,2107.26,12880.47,242.42,241.11,0.81,MBB2014
wais,2109.25,12900.55,244.71,243.39,2.09,MBB2014
wais,2111.26,12921.13,239.94,238.64,0.19,MBB2014
wais,2113.23,12941.45,244.17,242.85,1.94,MBB2014
wais,2115.26,12962.81,243.19,241.87,2.24,MBB2014
wais,2117.27,12983.2,246.85,245.52,1.16,MBB2014
wais,2121.25,13024.7,240.08,238.78,0.11,MBB2014
wais,2125.26,13067.72,242.18,240.87,0.96,MBB2014
wais,2129.26,13111.26,244.7,243.37,0.69,MBB2014
wais,2133.88,13162.6,245.75,244.42,0.15,MBB2014
wais,2137.26,13199.32,242.14,240.83,0.33,MBB2014
wais,2147.25,13310.24,243.1,241.79,1.87,MBB2014
wais,2153.27,13376.5,245.57,244.24,1.41,MBB2014
wais,2157.25,13420.55,241.09,239.79,0.4,MBB2014
wais,2163.35,13486.08,249.17,247.82,0.12,MBB2014
wais,2167.25,13528.44,243.83,242.51,0.46,MBB2014
wais,2173.28,13592.96,246.93,245.59,1.23,MBB2014
wais,2177.26,13636.79,246.42,245.09,2.23,MBB2014
wais,2183.35,13705.17,244.37,243.05,0.1,MBB2014
wais,2187.24,13750.39,243.24,241.93,0.87,MBB2014
wais,2193.27,13820.37,245.89,244.56,0.58,MBB2014
wais,2198.24,13880.66,241.19,239.88,1.04,MBB2014
wais,2200.24,13904.42,243.15,241.83,1.09,MBB2014
wais,2203.36,13942.49,246.59,245.26,1.18,MBB2014
wais,2205.24,13964.72,238.14,236.85,1.54,MBB2014
wais,2208.24,14000.31,241.67,240.36,0.13,MBB2014
wais,2211.24,14035.89,244.53,243.21,0.43,MBB2014
wais,2213.27,14060.01,244.65,243.32,0.81,MBB2014
wais,2215.3,14083.81,243.64,242.32,1.89,MBB2014
wais,2218.25,14118.76,241.86,240.56,1.19,MBB2014
wais,2221.25,14153.73,245.51,244.19,1.32,MBB2014
wais,2223.35,14178.44,244.32,243,0.22,MBB2014
wais,2224.24,14189.18,241.07,239.76,1.1,MBB2014
wais,2227.24,14222.82,247.38,246.04,1.09,MBB2014
wais,2228.33,14234.95,243.67,242.35,0.49,MBB2014
wais,2230.24,14256.21,245.62,244.29,1.05,MBB2014
