"","new_age","Alnus incana-type","Cyrilla racemiflora","Fraxinus undiff.","Nyssa","Asteroideae undiff.","Iva frutescens-type","Byrsonima","Carya","Taxodium","Xyris","Amaranthaceae undiff.","Myrica","Cupressaceae undiff.","Cyperaceae","Ambrosia-type","Pinus subg. Pinus","Quercus","Poaceae","Pinus undiff.","Acer saccharum-type","Ostrya/Carpinus","Ulmus","Vitis","Rhexia-type","Podocarpus","Polygonum polygamum-type","Betula","Celtis","Cephalanthus","Polygonum delopyrum-type","Ericaceae","Artemisia","Liquidambar","Pinus subg. Strobus","mimosoid clade","Polygonum fimbriatum-type","Rhus","Urticaceae undiff.","Populus","Chamaecyparis-type","Apiaceae","Salix","Tilia","Chamaecrista-type","Paronychia chartacea","Urtica-type","Trema","Acer rubrum","Gordonia","Chamaecrista fasciculata-type","Ranunculaceae undiff.","Ilex","Morus","Tillandsia","Ceratiola ericoides-type","Combretaceae/Melastomataceae undiff.","Acalypha-type","cf. Araliaceae","Urticalean Rosids undiff.","Fabaceae undiff.","Lechea","Orchidaceae","Taxus","Bursera","Platanus","Ledum-type","Cichorioideae","Bromeliaceae","Anacardiaceae undiff.","Impatiens","Phoradendron","Campanulaceae","Beta vulgaris-type","Froelichia-type","Abies","Dalea undiff.","Scrophulariaceae-type","cf. Physalis","Thalictrum","Dodonaea","Solanaceae undiff.","Dalea purpurea","cf. Hypericum","Lupinus-type","Paronychia americana","Eryngium-type","Sisyrinchium","Fagus","Myrtaceae undiff.","cf. Verbenaceae","Ludwigia-type","Gentianaceae undiff.","Pinaceae (vesiculate) undiff.","Rumex","Corylus","Ceanothus","Viburnum","Symplocos","Plantago","Caryophyllaceae","Ximenia","Osmanthus","Hedyosmum","Fraxinus pennsylvanica-type","Parthenocissus","Acer negundo-type","Brassicaceae undiff.","Dalea","Gomphrena-type","Lamiaceae","Xanthium","Fraxinus nigra-type","Polygalaceae","Dianthus-type","Arceuthobium/Loranthaceae","Sapindus","Piperaceae-type","Picea","Dalea candida-type","Sambucus","Sanguisorba","Cyclachaena xanthiifolia-type","Persicaria amphibia","Larix/Pseudotsuga","Rubiaceae undiff.","Onagraceae","Apocynum","Hedysarum","Saxifraga-type","Tsuga","Polygonum tenue-type","Berberidaceae","Zanthoxylum-type","Malvaceae","Avena-type","Acer undiff.","cf. Oxalis","Rosaceae undiff.","Clethra","Magnolia","cf. Weinmannia","Gentiana andrewsii-type","Rhamnaceae undiff.","Juglans nigra-type","Shepherdia canadensis","Trifolium repens-type","Brassica","Galium","Euphorbia","Solanum rostratum","Rutaceae undiff.","Cedrus","Engelhardia-type","Moraceae undiff.","Cistaceae"
"23",4890.5,0,0,0.00240384615384615,0,0.0192307692307692,0.00480769230769231,0,0,0,0,0.0336538461538462,0.0120192307692308,0.00480769230769231,0.0144230769230769,0.00240384615384615,0.0168269230769231,0.129807692307692,0.09375,0.644230769230769,0,0.00240384615384615,0.00240384615384615,0,0.00240384615384615,0,0,0,0,0,0,0.00480769230769231,0,0.00480769230769231,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",5146.5,0.00156494522691706,0,0.00156494522691706,0,0.00625978090766823,0.00469483568075117,0,0.00469483568075117,0,0,0.02660406885759,0.0125195618153365,0.00469483568075117,0.00625978090766823,0.00469483568075117,0.0923317683881064,0.117370892018779,0.112676056338028,0.586854460093897,0,0,0,0.00312989045383412,0.00469483568075117,0,0,0.00312989045383412,0,0,0,0.00156494522691706,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156494522691706,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",5364.5,0.0020746887966805,0,0,0,0.004149377593361,0.00622406639004149,0,0.00829875518672199,0,0,0.0186721991701245,0.0103734439834025,0.0020746887966805,0.0020746887966805,0.004149377593361,0.0435684647302905,0.0995850622406639,0.0726141078838174,0.719917012448133,0,0,0,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",5552.5,0,0,0,0,0.00199600798403194,0.00598802395209581,0,0.00399201596806387,0,0,0.029940119760479,0.00798403193612774,0,0.0119760479041916,0.00399201596806387,0.0958083832335329,0.153692614770459,0.131736526946108,0.528942115768463,0.00199600798403194,0,0.00399201596806387,0,0.00598802395209581,0.00199600798403194,0,0,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399201596806387,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",5724,0,0,0.004,0.002,0.004,0.008,0,0.006,0,0,0.048,0.012,0,0.01,0.004,0.034,0.186,0.142,0.53,0,0.002,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",5815,0.00251572327044025,0,0.0050314465408805,0,0.0188679245283019,0.00754716981132075,0,0.010062893081761,0,0,0.030188679245283,0.0125786163522013,0.0050314465408805,0.00251572327044025,0.00251572327044025,0.0327044025157233,0.260377358490566,0.172327044025157,0.417610062893082,0,0,0.00251572327044025,0,0.0050314465408805,0,0.00251572327044025,0,0,0,0,0.00251572327044025,0,0.00251572327044025,0,0,0,0,0,0,0,0,0.00251572327044025,0,0,0,0,0,0,0.00251572327044025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",5897,0.0018018018018018,0,0.0036036036036036,0.0018018018018018,0.00540540540540541,0.00540540540540541,0,0.00720720720720721,0,0.0018018018018018,0.036036036036036,0.0252252252252252,0.0036036036036036,0.0162162162162162,0.0108108108108108,0.0234234234234234,0.171171171171171,0.124324324324324,0.535135135135135,0,0.0018018018018018,0.0018018018018018,0,0.0036036036036036,0,0,0,0.0018018018018018,0,0,0.00900900900900901,0,0.0036036036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036036036036036,0,0,0,0,0,0,0,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",5937.5,0,0,0.0021551724137931,0,0.0107758620689655,0.00646551724137931,0,0.0021551724137931,0.0021551724137931,0.0021551724137931,0.0280172413793103,0.0107758620689655,0,0.0237068965517241,0.00431034482758621,0.00862068965517241,0.0711206896551724,0.144396551724138,0.663793103448276,0,0,0.0021551724137931,0.0021551724137931,0.0107758620689655,0,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",5991,0.00249376558603491,0,0.00498753117206983,0,0.0124688279301746,0.0124688279301746,0,0,0.00498753117206983,0.00249376558603491,0.0411471321695761,0.0124688279301746,0,0.0174563591022444,0.00997506234413965,0.027431421446384,0.326683291770574,0.239401496259352,0.255610972568579,0,0.00249376558603491,0.00498753117206983,0,0.00249376558603491,0,0,0,0.00249376558603491,0,0,0.00748129675810474,0,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",6225,0,0,0.0109649122807018,0,0.0197368421052632,0.00657894736842105,0,0.0043859649122807,0,0.00219298245614035,0.0241228070175439,0.0153508771929825,0.0131578947368421,0.0109649122807018,0.0131578947368421,0.0241228070175439,0.245614035087719,0.219298245614035,0.379385964912281,0,0,0,0,0.00219298245614035,0,0,0,0,0,0,0.00219298245614035,0,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219298245614035,0,0,0,0,0,0,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
