hyp,name,boot_mean,boot_sd,upper_68,lower_68,t_scores,p_vals,sig
mnTS_mod_int,char_acc.Grass,0.003060083,0.06388077,0.064260582,-0.058173566,0.047903040624288934,0.9617935161069204,FALSE
mnTS_mod_int,char_acc.Herbs,-0.049892712,0.06664644,0.015938534,-0.112757062,-0.748617816,0.4540875907791726,FALSE
mnTS_mod_int,char_acc.Pinus,0.15339982602825475,0.073944661,0.22565114996873706,0.0819095,2.0745220022670243,0.038030857520298285,TRUE
mnTS_mod_int,char_acc.Quercus,-0.0399746,0.059977721,0.020863731,-0.100582951,-0.666490814,0.5050974331574387,FALSE
mnTS_mod_int,d18O.Grass,0.026189365212539506,0.12437919515545671,0.15273511615316696,-0.101095512,0.21056065831433013,0.8332301141107362,FALSE
mnTS_mod_int,d18O.Herbs,-0.180570902,0.13818304613207058,-0.043150598,-0.319544754,-1.306751494,0.19129712384757547,FALSE
mnTS_mod_int,d18O.Pinus,0.082508981,0.171255132,0.2508225766958682,-0.080044358,0.481789828,0.6299552561969137,FALSE
mnTS_mod_int,d18O.Quercus,-0.081706389,0.12201016527745946,0.038830160114865314,-0.197916406,-0.669668702,0.50306900726223025,FALSE
mnTS_mod_int,heinrich.Grass,0.18767969221679454,0.1429124800222574,0.325534937,0.042589067563741034,1.313249145,0.18909900868752696,FALSE
mnTS_mod_int,heinrich.Herbs,-0.097318307,0.1590574479277997,0.059168683249557125,-0.259020217,-0.611843761,0.5406411333714694,FALSE
mnTS_mod_int,heinrich.Pinus,0.688492195,0.21424827624948942,0.8964174184232538,0.4850523358573883,3.213525013088659,0.001311164,TRUE
mnTS_mod_int,heinrich.Quercus,0.2215277548225845,0.1462388025140878,0.36321000129184045,0.074333413,1.5148356729825094,0.1298140240436723,FALSE
mnTS_mod_int,humans.Grass,0.6058738397792882,0.40991924878533137,1.0223502190336509,0.21896909374620138,1.4780321772510256,0.139399166,FALSE
mnTS_mod_int,humans.Herbs,0.20345786489504497,0.4342624001398524,0.6423801521884914,-0.226909332,0.4685136563274237,0.6394173073825282,FALSE
mnTS_mod_int,humans.Pinus,-0.001597676,0.6726983967021918,0.6572244138336006,-0.678549383,-0.002375025,0.9981050058084746,FALSE
mnTS_mod_int,humans.Quercus,0.26418928411432047,0.3660374714183027,0.6068741283054715,-0.09500315,0.7217547512025306,0.4704452735890186,FALSE
mnTS_mod_int,mean_co2.Grass,-0.055944278,0.1913852121858939,0.13029189623928336,-0.253440052,-0.292312436,0.770047751,FALSE
mnTS_mod_int,mean_co2.Herbs,-0.040589621,0.21218910456266923,0.17056894865190697,-0.253658748,-0.191289847,0.8482985152654228,FALSE
mnTS_mod_int,mean_co2.Pinus,0.36687654917825646,0.3041492558127295,0.6564191217996228,0.057009339,1.2062385232471171,0.2277255341186805,FALSE
mnTS_mod_int,mean_co2.Quercus,0.4615786630558269,0.18557960717889316,0.6362127938807595,0.27722572253194355,2.4872272879146626,0.012874312,TRUE
mnTS_mod_int,ocfs.Grass,-0.203571417,0.10474644281324696,-0.096606542,-0.313351707,-1.94346855,0.051959572,FALSE
mnTS_mod_int,ocfs.Herbs,-0.069569278,0.11485045337625988,0.037790145,-0.18603316,-0.605737947,0.5446887810594957,FALSE
mnTS_mod_int,ocfs.Pinus,-0.043920898,0.1676589324728021,0.12007728830102857,-0.208419071,-0.261965753,0.7933478455226484,FALSE
mnTS_mod_int,ocfs.Quercus,0.063571901,0.097599836,0.15813502238092308,-0.033079856,0.6513525426692297,0.5148189380142618,FALSE
mnTS_mod_int,sp.Other.Other,-0.181225492,0.2788736598408945,0.057430206270172306,-0.441774149,-0.649848006,0.5157904060633816,FALSE
mnTS_mod_int,sp.Grass.Grass,0.817358044,0.1721623861407624,0.9349145788693446,0.7090327975271656,4.747599415992042,2.05845217035724e-6,TRUE
mnTS_mod_int,sp.Herbs.Herbs,0.7045311833482806,0.13586591253968294,0.8176296918595851,0.6078493765088162,5.185488914612818,2.1544890311919612e-7,TRUE
mnTS_mod_int,sp.Pinus.Pinus,0.71947585,0.12654886650339273,0.820290233,0.6121501725193429,5.685359894639026,1.305374646584509e-8,TRUE
mnTS_mod_int,sp.Pinus.Quercus,-0.403719726,0.3484245806878077,-0.138472884,-0.687341322,-1.158700471,0.2465782986361309,FALSE
mnTS_mod_int,sp.Quercus.Pinus,0.016107637,0.084598454,0.084234706,-0.052170245,0.19040107962926534,0.8489948517264846,FALSE
mnTS_mod_int,sp.Quercus.Quercus,0.7162373461229735,0.2500223867233371,0.9280421481685548,0.49576382348601117,2.8646928601458708,0.004174139,TRUE
mnTS_mod_int,Grass,-0.309029384,0.15642391890350865,-0.156395498,-0.460266841,-1.975589068,0.048201338,TRUE
mnTS_mod_int,Herbs,-0.157189522,0.14002045257182077,-0.01233984,-0.296011059,-1.122618299,0.2615996400763292,FALSE
mnTS_mod_int,Pinus,0.7224209910180959,0.24451070042618722,0.9532469956195946,0.47957841839250004,2.9545577750131224,0.003131175,TRUE
mnTS_mod_int,Quercus,0.12936194136064463,0.12137956461101437,0.25688183494994843,0.011465700408125536,1.065763761595384,0.2865304461906167,FALSE
