"","hyp","name","boot_mean","boot_sd","upper_68","lower_68","t_scores","p_vals","sig"
"1","mnTS_mod","char_acc.Grass",-0.0226616886514324,0.0580744414501459,0.0349935595602083,-0.0798174382390509,-0.390217935559248,0.696375400158519,FALSE
"2","mnTS_mod","char_acc.Herbs",-0.0523280081358626,0.0719709530847511,0.0195440306828303,-0.123894784652713,-0.727071212663288,0.467182332554257,FALSE
"3","mnTS_mod","char_acc.Pinus",0.0974405043454306,0.0779571610214184,0.176786509177798,0.0209038395921091,1.24992371539363,0.211327415289514,FALSE
"4","mnTS_mod","char_acc.Quercus",-0.0336562918904189,0.0664825267372445,0.031973619930795,-0.098718975999261,-0.506242670701084,0.612686303160875,FALSE
"5","mnTS_mod","d18O.Grass",-0.00231251479627698,0.123689485515453,0.116626303096259,-0.125643894665754,-0.0186961307716659,0.985083514913489,FALSE
"6","mnTS_mod","d18O.Herbs",-0.200690266606448,0.151417042626872,-0.0594936137381843,-0.351155739295506,-1.32541398989675,0.185033879440761,FALSE
"7","mnTS_mod","d18O.Pinus",0.182675464238641,0.18488440074964,0.371082255256686,0.00226882275617078,0.988052337016851,0.323127016886398,FALSE
"8","mnTS_mod","d18O.Quercus",-0.075050399114104,0.138537049997906,0.062975985173474,-0.213808906422363,-0.541735218955785,0.588000924042196,FALSE
"9","mnTS_mod","heinrich.Grass",0.227322386498685,0.143316136445198,0.369119992185279,0.078865665994736,1.58616044317948,0.112702918494032,FALSE
"10","mnTS_mod","heinrich.Herbs",-0.0712899155447846,0.172743186922147,0.102228251644206,-0.243363203332895,-0.412693066597839,0.679831505292343,FALSE
"11","mnTS_mod","heinrich.Pinus",0.718088625213357,0.21781930980192,0.938653570494053,0.508568703714215,3.29671701680797,0.000978220083063405,TRUE
"12","mnTS_mod","heinrich.Quercus",0.195325215260549,0.159393356096475,0.350996395085554,0.034599294392359,1.22542883871725,0.220413686713199,FALSE
"13","mnTS_mod","humans.Grass",0.851086583818927,0.417474939132993,1.25671987231238,0.437423288466377,2.03865311193638,0.0414846604470133,TRUE
"14","mnTS_mod","humans.Herbs",0.211518499691882,0.534085678580115,0.744860186454935,-0.30167865021276,0.396038516243707,0.69207661447507,FALSE
"15","mnTS_mod","humans.Pinus",-0.0943332397337686,0.705452634814918,0.580447337983022,-0.819606033946759,-0.133720160756814,0.893623862362036,FALSE
"16","mnTS_mod","humans.Quercus",0.121268677705796,0.407327588757108,0.529867128728262,-0.284111033720922,0.297717810069844,0.76591854903512,FALSE
"17","mnTS_mod","mean_co2.Grass",-0.0481778526505765,0.183911664109109,0.134572232439154,-0.229399887744653,-0.26196192005524,0.793350800609201,FALSE
"18","mnTS_mod","mean_co2.Herbs",0.0103235164465224,0.244961746469087,0.245394630709058,-0.237223715659987,0.0421433819579056,0.966384397070815,FALSE
"19","mnTS_mod","mean_co2.Pinus",0.365513446419723,0.323899108306077,0.676209622810644,0.0435367996749752,1.12847932287088,0.259117544486063,FALSE
"20","mnTS_mod","mean_co2.Quercus",0.467854273904137,0.201654711196895,0.657385008418938,0.273315022255542,2.32007609010099,0.0203367615154831,TRUE
"21","mnTS_mod","ocfs.Grass",-0.101173179927661,0.0763507022455363,-0.0260097949570694,-0.173570033029618,-1.32511132120695,0.185134231728383,FALSE
"22","mnTS_mod","ocfs.Herbs",-0.0554571685721052,0.0988269225557249,0.0393550412005995,-0.155333460553244,-0.561154462144007,0.574692243455734,FALSE
"23","mnTS_mod","ocfs.Pinus",-0.060215344193672,0.12650732746035,0.0647477415871138,-0.189938810977567,-0.475983054914702,0.634086450069625,FALSE
"24","mnTS_mod","ocfs.Quercus",-0.022028911628723,0.0797289198216472,0.0570825309019373,-0.100220837160341,-0.276297630495953,0.782319475701742,FALSE
"25","mnTS_mod","sp.Other.Other",0.730510212766883,0.225972824440569,0.895080501593619,0.586416669575128,3.23273479709507,0.0012261133035201,TRUE
"26","mnTS_mod","sp.Grass.Grass",0.865875777207576,0.0990657943657144,0.937095327883088,0.80467638829371,8.74041118583355,2.32263509357958e-18,TRUE
"27","mnTS_mod","sp.Herbs.Herbs",0.659243733373829,0.151620912253869,0.789962849794682,0.536752281878232,4.34797366388361,1.3740109831912e-05,TRUE
"28","mnTS_mod","sp.Pinus.Pinus",0.807543725469773,0.0673638087191639,0.8700715400091,0.750826157256042,11.9877979114331,4.11704859695876e-33,TRUE
"29","mnTS_mod","sp.Quercus.Quercus",0.371888585156938,0.199773132154516,0.566434987929224,0.182000887425944,1.86155456014625,0.0626659033276801,FALSE
"30","mnTS_mod","Grass",-0.370110621809342,0.155234071142357,-0.218580366788645,-0.51263873134856,-2.38420998100304,0.0171158330451215,TRUE
"31","mnTS_mod","Herbs",-0.161631085547389,0.1657484658142,-0.00209223924382106,-0.327859851242572,-0.975158863482771,0.329481463826783,FALSE
"32","mnTS_mod","Pinus",0.715316867694059,0.26280746539841,0.978290625010253,0.465679305957172,2.72182856986066,0.00649218109046758,TRUE
"33","mnTS_mod","Quercus",0.194890322552278,0.13136548802224,0.327454016348097,0.0697976776442205,1.48357323895667,0.137922173282471,FALSE
"34","mnTS_mod_int","char_acc.Grass",-0.0241567134437611,0.0523959578431863,0.0280909745953355,-0.0767128709794582,-0.461041546679207,0.644768797717909,FALSE
"35","mnTS_mod_int","char_acc.Herbs",-0.0465374688584969,0.0679046925688789,0.0180784959591558,-0.111335500668992,-0.685335093908154,0.493132491352808,FALSE
