"","Lab No","Core","Drive","depth_core","Tracer Added","Lycopodium","Delitschia","Sporormiella","Ascobolus","Saccobolus","Podospora","Strattonia","Sordaria","Xylariaceae","Apiosordaria","Cercophora","Ascodesmis","Melanospora","Chaetomium","Coniochaeta","Gelasinospora","Total Count","Delitschia, Sporormiella, Podospora, Cercopohra, Sordaria","OCFS Concentration","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"61",205,"4A",NA,1195,14285,161,0,10,0,0,1,0,0,0,1,0,0,0,5,0,0,178,11,975.993788819876,"10L",54,1333,46728.5,44329.5,49154.5,29
"62",71,"4A","10L 70cm",1213,14285,84,2,10,0,0,6,0,5,2,2,2,0,0,9,0,1,123,25,4251.4880952381,"10L",72,1351,47584,45119.95,49846.35,23
"63",206,"4A",NA,1229,14285,83,0,2,0,1,0,0,0,1,0,1,0,0,1,2,0,91,3,516.325301204819,"10L",88,1367,48217.5,45848.95,50629.05,40.5
"64",207,"4A",NA,1243,14285,65,1,3,0,0,1,0,0,0,1,0,0,0,1,3,0,75,5,1098.84615384615,"11L",2,1381,48953.5,46489.15,51088.4,65
"65",210,"4A",NA,1259,14285,93,0,6,0,0,2,0,2,1,0,0,0,0,6,6,1,117,10,1536.02150537634,"11L",18,1397,49593.5,47248.9,51862.1,48.5
"66",75,"4A","11L 34cm",1275,14285,56,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,2040.71428571429,"11L",34,1413,50369,48039.3,52631.2,45.5
"67",211,"4A",NA,1291,14285,81,1,3,0,0,1,0,1,0,0,3,0,0,18,4,0,112,9,1587.22222222222,"11L",50,1429,51689.5,49285.45,54139.4,56.5
"68",212,"4A",NA,1307,14285,59,1,2,0,0,0,0,0,0,1,1,0,0,4,3,0,71,4,968.474576271186,"11L",66,1445,52555,50167,55079.7,47
"69",213,"4A",NA,1323,14285,46,2,7,0,0,0,0,1,0,0,0,0,0,5,0,0,61,10,3105.4347826087,"11L",82,1461,53455.5,51013.65,55986.75,64
"70",79,"4A","11L 90cm",1331,14285,194,6,12,0,0,3,0,2,0,0,1,0,0,0,6,1,225,24,1767.21649484536,"11L",90,1469,53890.5,51430.4,56457.35,58.5
"71",214,"4A",NA,1363,14285,94,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97,0,0,"12L",22,1501,55790.5,53213.8,57793.15,59.5
"72",215,"4A",NA,1379,14285,114,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,3,375.921052631579,"12L",38,1517,56749.5,54320.55,58529.3,76.5
"73",216,"4A",NA,1411,14285,69,1,1,0,1,0,0,0,0,0,0,0,0,2,3,0,77,2,414.057971014493,"12L",70,1549,58625,56908.85,59417,67.5
"74",217,"4A",NA,1433,14285,77,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,81,3,556.558441558442,"12L",92,1571,59981,59733.9,60631.3,41
"75",80,"4A","13L 10cm",1451,14285,68,0,9,0,0,2,0,1,0,0,1,0,0,0,2,0,83,13,2730.95588235294,"13L",10,1589,60653,59925.85,61931.05,32
"76",218,"4A",NA,1467,14285,89,1,5,0,0,1,0,0,0,1,0,0,0,1,7,1,106,7,1123.5393258427,"13L",26,1605,61214.5,60206.9,62747,28.5
"77",219,"4A",NA,1483,14285,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,176.358024691358,"13L",42,1621,61796.5,60468.95,63628.2,35
"78",220,"4A",NA,1499,14285,97,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,101,3,441.80412371134,"13L",58,1637,62403,60899.7,64310.9,50.5
"79",84,"4A","13L 74cm",1515,14285,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,62,1,238.083333333333,"13L",74,1653,62991,61241.85,65253.45,38.5
"80",221,"4A",NA,1547,14285,88,0,2,0,0,0,0,2,0,0,2,0,0,5,0,0,99,6,973.977272727273,"14L",6,1685,64165.5,62172.15,66805.8,44.5
"81",222,"4A",NA,1563,14285,68,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,73,3,630.220588235294,"14L",22,1701,64719.5,62534.3,67489.1,40.5
