"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"1158","4A",1500,1,20,"13L",59,1638,62436.5,60904,64374.55,33.5,0.597014925373134
"1159","4A",1501,1,16,"13L",60,1639,62457,60922.25,64428,20.5,0.780487804878049
"1160","4A",1502,1,10,"13L",61,1640,62480.5,60930.8,64535.45,23.5,0.425531914893617
"1161","4A",1503,1,44,"13L",62,1641,62525,60964.15,64595,44.5,0.98876404494382
"1162","4A",1504,1,12,"13L",63,1642,62585,60994.75,64671.3,60,0.2
"1163","4A",1505,1,15,"13L",64,1643,62617,61007.5,64754.65,32,0.46875
"1164","4A",1506,1,53,"13L",65,1644,62651.5,61027.55,64809.1,34.5,1.53623188405797
"1165","4A",1507,1,118,"13L",66,1645,62686,61055.9,64852.85,34.5,3.42028985507246
"1166","4A",1508,1,25,"13L",67,1646,62730,61081.55,64864.9,44,0.568181818181818
"1167","4A",1509,1,40,"13L",68,1647,62789,61091.9,64930.2,59,0.677966101694915
"1168","4A",1510,1,16,"13L",69,1648,62807.5,61125.95,64988.4,18.5,0.864864864864865
"1169","4A",1511,1,16,"13L",70,1649,62831,61144.85,65043.35,23.5,0.680851063829787
"1170","4A",1512,1,27,"13L",71,1650,62869,61199.7,65080.25,38,0.710526315789474
"1171","4A",1513,1,41,"13L",72,1651,62915.5,61205.8,65132.55,46.5,0.881720430107527
"1172","4A",1514,1,6,"13L",73,1652,62952.5,61231.35,65142.55,37,0.162162162162162
"1173","4A",1515,1,13,"13L",74,1653,62991,61241.85,65253.45,38.5,0.337662337662338
"1174","4A",1516,1,3,"13L",75,1654,63029,61252,65307,38,0.0789473684210526
"1175","4A",1517,1,15,"13L",76,1655,63083.5,61289.65,65320.2,54.5,0.275229357798165
"1176","4A",1518,1,8,"13L",77,1656,63119.5,61327.3,65403.1,36,0.222222222222222
"1177","4A",1519,1,22,"13L",78,1657,63156,61347.9,65467.65,36.5,0.602739726027397
"1178","4A",1520,1,11,"13L",79,1658,63187,61381.7,65501.1,31,0.354838709677419
"1179","4A",1521,1,7,"13L",80,1659,63207.5,61411.8,65527.4,20.5,0.341463414634146
"1180","4A",1522,1,12,"13L",81,1660,63252,61437.15,65570.5,44.5,0.269662921348315
"1181","4A",1525,1,11,"13L",84,1663,63349.5,61528.7,65685.25,34.5,0.318840579710145
"1182","4A",1526,1,29,"13L",85,1664,63390.5,61568.9,65705.05,41,0.707317073170732
"1183","4A",1527,1,33,"13L",86,1665,63423,61592.4,65754.45,32.5,1.01538461538462
"1184","4A",1542,1,35,"14L",1,1680,63954,62036.95,66540.1,44,0.795454545454545
"1185","4A",1543,1,13,"14L",2,1681,64010,62071.1,66673.05,56,0.232142857142857
"1186","4A",1544,1,12,"14L",3,1682,64035,62110.3,66713.8,25,0.48
"1187","4A",1545,1,16,"14L",4,1683,64076.5,62129.65,66738.15,41.5,0.385542168674699
"1188","4A",1546,1,6,"14L",5,1684,64121,62148.95,66766.2,44.5,0.134831460674157
"1189","4A",1547,1,24,"14L",6,1685,64165.5,62172.15,66805.8,44.5,0.539325842696629
"1190","4A",1548,1,35,"14L",7,1686,64193,62184.15,66894.6,27.5,1.27272727272727
"1191","4A",1549,1,15,"14L",8,1687,64223,62195.9,66933.15,30,0.5
"1192","4A",1550,1,16,"14L",9,1688,64255.5,62249.8,66996.2,32.5,0.492307692307692
"1193","4A",1551,1,23,"14L",10,1689,64304.5,62268.1,67033,49,0.469387755102041
"1194","4A",1552,1,16,"14L",11,1690,64348,62278.8,67056.5,43.5,0.367816091954023
"1195","4A",1553,1,8,"14L",12,1691,64375,62305.55,67098,27,0.296296296296296
"1196","4A",1554,1,13,"14L",13,1692,64411,62339.7,67139.25,36,0.361111111111111
"1197","4A",1555,1,15,"14L",14,1693,64447,62370.4,67169.55,36,0.416666666666667
"1198","4A",1556,1,16,"14L",15,1694,64491,62380.55,67214.45,44,0.363636363636364
"1199","4A",1557,1,18,"14L",16,1695,64512.5,62406.2,67240.15,21.4999999999927,0.837209302325865
"1200","4A",1558,1,9,"14L",17,1696,64530.5,62432.8,67265.75,18.0000000000073,0.499999999999798
"1201","4A",1559,1,23,"14L",18,1697,64561.5,62444.65,67300.05,31,0.741935483870968
"1202","4A",1560,1,6,"14L",19,1698,64595.5,62474.95,67361.2,34,0.176470588235294
"1203","4A",1561,1,18,"14L",20,1699,64636.5,62486.2,67391.8,41,0.439024390243902
"1204","4A",1562,1,11,"14L",21,1700,64679,62522.65,67440.45,42.5,0.258823529411765
"1205","4A",1563,1,15,"14L",22,1701,64719.5,62534.3,67489.1,40.5,0.37037037037037
"1206","4A",1564,1,38,"14L",23,1702,64770.5,62545.95,67499.55,51,0.745098039215686
"1207","4A",1565,1,33,"14L",24,1703,64793.5,62575.45,67517.3,23,1.43478260869565
"1208","4A",1566,1,18,"14L",25,1704,64831.5,62598.85,67572.55,38,0.473684210526316
"1209","4A",1567,1,6,"14L",26,1705,64900.5,62606.55,67622.3,69,0.0869565217391304
"1210","4A",1568,1,29,"14L",27,1706,64938.5,62637.6,67700.6,38,0.763157894736842
"1211","4A",1569,1,34,"14L",28,1707,64964,62667.65,67779.35,25.5,1.33333333333333
"1212","4A",1570,1,21,"14L",29,1708,65011,62714.95,67848.65,47,0.446808510638298
"1213","4A",1571,1,22,"14L",30,1709,65047,62752.2,67920.3,36,0.611111111111111
"1214","4A",1572,1,82,"14L",31,1710,65071,62794.2,67947.95,24,3.41666666666667
"1215","4A",1573,1,300,"14L",32,1711,65104.5,62803.95,68028.5,33.5,8.95522388059701
"1216","4A",1574,1,124,"14L",33,1712,65138,62816.8,68038.4,33.5,3.70149253731343
"1217","4A",1575,1,17,"14L",34,1713,65187,62864.75,68079.65,49,0.346938775510204
"1218","4A",1576,1,44,"14L",35,1714,65211.5,62888.65,68148.95,24.4999999999927,1.79591836734747
"1219","4A",1577,1,14,"14L",36,1715,65248,62901.9,68186.25,36.5000000000073,0.38356164383554
"1220","4A",1578,1,21,"14L",37,1716,65288,62930.6,68202.8,40,0.525
"1221","4A",1579,1,18,"14L",38,1717,65326.5,62987.75,68227.7,38.5,0.467532467532468
"1222","4A",1580,1,28,"14L",39,1718,65342.5,63036.7,68237.45,16,1.75
"1223","4A",1581,1,53,"14L",40,1719,65377,63087.95,68255.1,34.5,1.53623188405797
"1224","4A",1582,1,30,"14L",41,1720,65409,63145.5,68273.7,32,0.9375
"1225","4A",1583,1,31,"14L",42,1721,65427,63153.45,68357.35,18,1.72222222222222
"1226","4A",1584,1,25,"14L",43,1722,65475,63169.6,68378.45,48,0.520833333333333
"1227","4A",1585,1,31,"14L",44,1723,65503.5,63185.4,68394.7,28.5,1.08771929824561
"1228","4A",1586,1,27,"14L",45,1724,65541.5,63195.15,68450.45,38,0.710526315789474
"1229","4A",1587,1,11,"14L",46,1725,65560.5,63217.4,68525.25,19,0.578947368421053
"1230","4A",1588,1,45,"14L",47,1726,65588,63270.6,68584.35,27.5,1.63636363636364
"1231","4A",1589,1,137,"14L",48,1727,65634,63315.85,68599.65,46,2.97826086956522
"1232","4A",1590,1,113,"14L",49,1728,65671,63346.7,68648.3,37,3.05405405405405
"1233","4A",1591,1,12,"14L",50,1729,65711,63368,68665.55,40,0.3
"1234","4A",1592,1,42,"14L",51,1730,65771,63380,68693.45,60,0.7
"1235","4A",1593,1,26,"14L",52,1731,65832.5,63391.8,68766.05,61.5,0.422764227642276
"1236","4A",1594,1,35,"14L",53,1732,65882.5,63404,68807.55,50,0.7
"1237","4A",1595,1,45,"14L",54,1733,65920,63416.8,68835.3,37.5,1.2
"1238","4A",1596,1,293,"14L",55,1734,65948,63428.6,68847.05,28,10.4642857142857
