"","ngroups","topic","taxa","beta"
"104",4,"1","Acer.negundo.type",3.24896378002045e-16
"105",4,"1","Brassicaceae.undiff.",5.10616798976322e-24
"106",4,"1","Dalea",4.15725129370361e-46
"107",4,"1","Gomphrena.type",3.19451171886069e-40
"108",4,"1","Lamiaceae",1.894764535581e-08
"109",4,"1","Xanthium",1.40825658489814e-27
"110",4,"1","Fraxinus.nigra.type",1.12954029188246e-12
"111",4,"1","Polygalaceae",1.14951532287875e-25
"112",4,"1","Dianthus.type",1.96931643054186e-30
"113",4,"1","Arceuthobium.Loranthaceae",2.83611619666462e-31
"114",4,"1","Sapindus",1.5661605782871e-31
"115",4,"1","Piperaceae.type",4.30312055253753e-27
"116",4,"1","Picea",2.06229995907379e-11
"117",4,"1","Dalea.candida.type",3.1459004512552e-14
"118",4,"1","Sambucus",1.24210552660435e-15
"119",4,"1","Sanguisorba",2.39475275441636e-14
"120",4,"1","Cyclachaena.xanthiifolia.type",1.27752855864275e-30
"121",4,"1","Persicaria.amphibia",2.04638301674744e-31
"122",4,"1","Larix.Pseudotsuga",2.15228796857306e-37
"123",4,"1","Rubiaceae.undiff.",6.25628820036178e-34
"124",4,"1","Onagraceae",2.92456302414162e-30
"125",4,"1","Apocynum",2.38836101291465e-43
"126",4,"1","Hedysarum",1.24124663266493e-07
"127",4,"1","Saxifraga.type",2.83781704035499e-47
"128",4,"1","Tsuga",6.1103152464831e-30
"129",4,"1","Polygonum.tenue.type",5.18558058927579e-38
"130",4,"1","Berberidaceae",7.98769005787927e-38
"131",4,"1","Zanthoxylum.type",3.76391107383578e-37
"132",4,"1","Malvaceae",2.29997805501959e-39
"133",4,"1","Avena.type",1.020401904133e-39
"134",4,"1","Acer.undiff.",6.87912115362511e-37
"135",4,"1","cf..Oxalis",3.13454225776492e-14
"136",4,"1","Rosaceae.undiff.",2.26122152071432e-31
"137",4,"1","Clethra",2.75761940389011e-18
"138",4,"1","Magnolia",3.24216142133666e-29
"139",4,"1","cf..Weinmannia",6.0820071339445e-50
"140",4,"1","Gentiana.andrewsii.type",4.55334288765772e-19
