"","sample","age","1","2","3","4"
"1",1,1025.5,0.0248937990578625,0.0424671632412173,0.884581765474502,0.0480572722264178
"2",2,1153,0.0567265310111214,0.0538534167048392,0.778841007133209,0.110579045150831
"3",3,1267,0.0250561407330845,0.0291658289382458,0.87698505490675,0.0687929754219192
"4",4,1409,0.0282517701914474,0.021602137211552,0.871275914915637,0.0788701776813639
"5",5,1648,0.0167735646719313,0.00172069065370572,0.952826584573969,0.0286791601003938
"6",6,1739.5,0.0980260537446947,0.0414933250876686,0.784229057651072,0.0762515635165646
"7",7,1922,0.0184966890982166,0.00710841365899507,0.919874192772325,0.0545207044704635
"8",8,2027,0.0424009616065868,0.00510573081837168,0.891028352966297,0.0614649546087447
"9",9,2347.5,0.037149754963805,0.00247041003938835,0.921067043401986,0.0393127915948203
"10",10,2526,0.102592197445615,0.0219169945748063,0.80821598690249,0.0672748210770886
"11",11,2697.5,0.045513938409467,0.00962219731952056,0.875397194838061,0.069466669432951
"12",12,2881,0.0707628243205912,0.00332001738875708,0.892489664105542,0.0334274941851097
"13",13,3056.5,0.0878687712668884,0.00173684835965359,0.87509727346782,0.0352971069056382
"14",14,3303,0.135706448323396,0.00586364534397507,0.805898206907207,0.0525316994254218
"15",15,3520,0.112433975385187,0.00213966299218857,0.844208224766087,0.0412181368565374
"16",16,3699.5,0.187282251261887,0.00356776265853775,0.773442480038297,0.035707506041278
"17",17,3859.5,0.187198637623628,0.00229458203097291,0.756177539202173,0.0543292411432266
"18",18,4045.5,0.146987632365104,0.00443257242651397,0.741623848488663,0.106955946719719
"19",19,4215.5,0.0664193124409691,0.00150765316513719,0.900853493189483,0.0312195412044106
"20",20,4393.5,0.128858316919169,0.00622497499937999,0.759793283969124,0.105123424112326
"21",21,4567,0.0619835858162943,0.00842759706867661,0.867212376041212,0.062376441073817
"22",22,4728,0.194327887937434,0.0040668900794536,0.674386308888852,0.12721891309426
"23",23,4890.5,0.119206771394177,0.00447857838014468,0.765039906708648,0.11127474351703
"24",24,5146.5,0.114970331236266,0.00326986578555785,0.784478685155721,0.0972811178224557
"25",25,5364.5,0.0416982950863911,0.00328440347050951,0.864038512602079,0.0909787888410207
"26",26,5552.5,0.164238728979082,0.00314400038057703,0.703625297865716,0.128991972774625
"27",27,5724,0.184682275081694,0.00379338449486014,0.647806555547337,0.163717784876109
"28",28,5815,0.245046894842867,0.00749164877401309,0.502818749213721,0.244642707169398
"29",29,5897,0.183074496048024,0.00665081908995135,0.649735419574631,0.160539265287394
"30",30,5937.5,0.185449375694492,0.00313244025650374,0.775228586970296,0.0361895970787083
"31",31,5991,0.413422384940024,0.00579662464634347,0.281929954694345,0.298851035719287
"32",32,6225,0.325666664072168,0.0106777294202402,0.439750544279604,0.223905062227988
"33",33,6390,0.455475167901923,0.00440128566700256,0.311057592814402,0.229065953616672
"34",34,6557.5,0.358933958735875,0.0091971468100803,0.420240508033453,0.211628386420591
"35",35,6724,0.252467701621371,0.00927575141753342,0.35637816898698,0.381878377974115
"36",36,6885.5,0.249603822074721,0.0313544767378619,0.39085310767257,0.328188593514847
"37",37,7050.5,0.309103256150542,0.0178464801446312,0.265792696410041,0.407257567294786
"38",38,7416,0.327388193928746,0.0227957824406105,0.301720261534809,0.348095762095835
"39",39,7617.5,0.318343055463538,0.0207245976925965,0.41972455501031,0.241207791833556
"40",40,7784,0.332904009011428,0.00824055413444048,0.262311935050917,0.396543501803215
"41",41,8323.5,0.380074504197931,0.0211151126531473,0.360559690561718,0.238250692587204
"42",42,8759,0.329093877220907,0.00948495840835307,0.302142082568958,0.359279081801781
"43",43,9169.5,0.302193310150632,0.0101088345552146,0.368757999472862,0.318939855821291
"44",44,9584,0.234148109883354,0.0112369837800829,0.364396497743708,0.390218408592856
"45",45,10024.5,0.265790382198326,0.00786702203881182,0.43464565791098,0.291696937851882
"46",46,10447,0.240309014462666,0.0289823589409022,0.273575837254855,0.457132789341576
"47",47,10885.5,0.225798772720412,0.0137622789018945,0.382138199168526,0.378300749209168
"48",48,11370,0.211374450386316,0.0301702690060576,0.342104832695677,0.416350447911949
"49",49,11500.5,0.214827525177564,0.0194934555170731,0.173400216937287,0.592278802368075
"50",50,11541,0.189055938463648,0.0511878342202921,0.200929786954241,0.55882644036182
"51",51,11642,0.135715224189033,0.0925933606884353,0.220261655476891,0.55142975964564
"52",52,11702.5,0.0797501684733495,0.0388716831378815,0.277043543479437,0.604334604909332
"53",53,11758.5,0.139800058102226,0.0197195729221149,0.282052770697778,0.558427598277881
"54",54,11825,0.0988509415972591,0.176445535795551,0.258673654940188,0.466029867667002
"55",55,11934.5,0.0902380109355351,0.071343285531921,0.478965570263399,0.359453133269145
"56",56,12227,0.157818913911637,0.0793661427804735,0.433501668097335,0.329313275210554
"57",57,12475,0.178078252664621,0.134221948641677,0.392333423503873,0.295366375189829
"58",58,12732,0.191312609076729,0.159966946924192,0.439531379532229,0.209189064466851
"59",59,12773,0.116813066440422,0.294545900206275,0.155059221612171,0.433581811741132
"60",60,12804,0.137487803797831,0.264756013548793,0.140133344237936,0.457622838415439
"61",61,12835,0.0921258175815391,0.354140861564371,0.0868444658205746,0.466888855033515
"62",62,12848,0.0671247130715787,0.58443057653769,0.0367439988272591,0.311700711563472
"63",63,12862.5,0.0155142106927213,0.284315498947839,0.099171314645588,0.600998975713851
"64",64,12894,0.0727304612647349,0.229635963957021,0.0721744344018181,0.625459140376426
"65",65,13032,0.0533367853471447,0.264828573970941,0.127311191210399,0.554523449471516
"66",66,13187,0.0241940745264999,0.201838630630413,0.0790642649533295,0.694903029889758
"67",67,13343.5,0.0186047281824387,0.263888755459887,0.0815885529278554,0.635917963429819
"68",68,13511,0.0136697199238463,0.419398467552324,0.109915638805421,0.457016173718408
"69",69,13812,0.0160251129554578,0.254573947016644,0.405492590130289,0.32390834989761
"70",70,14100,0.0212387514403228,0.284826522869504,0.223181628858246,0.470753096831927
"71",71,14353,0.046090919183494,0.280810547240496,0.158993782718079,0.514104750857931
"72",72,14595.5,0.0184642982176867,0.312258022456646,0.177150601951395,0.492127077374272
"73",73,14847,0.0115784184908809,0.285530594201065,0.297486412342786,0.405404574965268
"74",74,15150,0.0291949231440265,0.208316123579699,0.340404455724925,0.42208449755135
"75",75,15350,0.0172235914583674,0.147679686238522,0.580288635093653,0.254808087209458
