"","age_center","char500"
"1",250,21.8691812289255
"2",350,23.5972204446118
"3",450,21.454857010944
"4",550,13.7062796623666
"5",650,13.7715315602272
"6",750,14.6485012571969
"7",850,15.6966512285353
"8",950,15.4090656257323
"9",1050,15.0481109168609
"10",1150,13.2134675883123
"11",1250,9.14123052767217
"12",1350,6.06949274164868
"13",1450,2.56544703910733
"14",1550,2.20237119776607
"15",1650,2.22081652055922
"16",1750,2.61886720282043
"17",1850,2.25685573156526
"18",1950,2.5432378453864
"19",2050,3.35243151597107
"20",2150,3.68309105251296
"21",2250,3.29631856574047
"22",2350,3.36199686958233
"23",2450,2.87614415640404
"24",2550,2.8143469961761
"25",2650,2.20582071401029
"26",2750,2.46447872266829
"27",2850,2.64063048418591
"28",2950,2.78957843545944
"29",3050,2.57448834536935
"30",3150,2.7508658008658
"31",3250,2.52021040974529
"32",3350,2.42380015333504
"33",3450,2.40867410291487
"34",3550,2.30769371075801
"35",3650,2.27048440843242
"36",3750,2.27415202216844
"37",3850,2.26267064965521
"38",3950,2.24010301795137
"39",4050,2.02636487030782
"40",4150,1.95293587476107
"41",4250,1.82883545118978
"42",4350,1.62290186115562
"43",4450,1.51908488429635
"44",4550,1.39081930956088
"45",4650,1.43860046457607
"46",4750,1.40869850379176
"47",4850,1.31751837956816
"48",4950,1.28526031505203
"49",5050,1.07222262103873
"50",5150,1.01952420834031
"51",5250,1.00969937807245
"52",5350,0.970718868327322
"53",5450,1.1254482286335
"54",5550,1.21313762257289
"55",5650,1.08414456701734
"56",5750,0.925709814197813
"57",5850,0.924378647057611
"58",5950,0.746629156528792
"59",6050,0.677184712084347
"60",6150,0.562652068126521
"61",6250,1.57456140350877
"62",6350,1.57456140350877
"63",6450,1.2761226966788
"64",6550,1.82962063906564
"65",6650,1.82962063906564
"66",6750,1.76966492453659
"67",6850,1.76966492453659
"68",6950,3.08171136865851
"69",7050,3.2467726448309
"70",7150,3.2467726448309
"71",7250,3.22867608581894
"72",7350,3.22867608581894
"73",7450,2.85519771234057
"74",7550,2.78829107400536
"75",7650,3.62552738267024
"76",7750,4.62097021999935
"77",7850,4.62097021999935
"78",7950,5.66810826713739
"79",8050,5.66810826713739
"80",8150,5.3696955687247
"81",8250,5.52056277056277
"82",8350,5.61533452996868
"83",8450,5.1048199767712
"84",8550,10.4830255244202
"85",8650,25.0678018591966
"86",8750,25.0678018591966
"87",8850,23.9527658812506
"88",8950,23.9527658812506
"89",9050,17.887446428301
"90",9150,2.75162418790605
"91",9250,6.71704523325192
"92",9350,11.5371218616044
"93",9450,11.5371218616044
"94",9550,12.478551972995
"95",9650,12.478551972995
"96",9750,11.3938842975207
"97",9850,5.86776859504132
"98",9950,5.86776859504132
"99",10050,NA
"100",10150,NA
"101",10250,NA
"102",10350,NA
"103",10450,NA
"104",10550,NA
"105",10650,NA
"106",10750,NA
"107",10850,NA
"108",10950,NA
"109",11050,NA
"110",11150,NA
"111",11250,NA
"112",11350,NA
"113",11450,NA
"114",11550,NA
"115",11650,NA
"116",11750,NA
"117",11850,2.95
"118",11950,2.76960467139039
"119",12050,3.0859709319629
"120",12150,3.06634582374285
"121",12250,2.74940765965051
"122",12350,2.44678617886514
"123",12450,2.31332126577023
"124",12550,2.11365451841079
"125",12650,2.03445161780501
"126",12750,2.11507076454703
"127",12850,2.39424499898577
"128",12950,2.56077048506972
"129",13050,4.04394321942266
"130",13150,5.11804069707149
"131",13250,5.76824012980833
"132",13350,6.2359832748086
"133",13450,6.65087459842031
"134",13550,6.89971426530493
"135",13650,6.76381929876349
"136",13750,6.63024922116878
"137",13850,6.6830500386163
"138",13950,6.43089016929653
"139",14050,6.46633020408022
"140",14150,6.46944941614389
"141",14250,6.57757977377144
"142",14350,5.72323322413451
"143",14450,5.16992731705132
"144",14550,4.6111337002387
"145",14650,3.67619972107866
"146",14750,3.21318103139328
"147",14850,3.23831562626088
"148",14950,3.29493596498648
"149",15050,2.98683161592949
"150",15150,3.36182154920795
"151",15250,3.76983854938323
"152",15350,3.87814328181711
"153",15450,4.06592939242012
"154",15550,4.53820698321161
"155",15650,4.45353586193917
"156",15750,4.72988137957252
"157",15850,6.98974794978357
"158",15950,9.25056888998484
"159",16050,9.38634494614995
"160",16150,8.54722277997954
"161",16250,7.86113431003671
"162",16350,6.34611587861061
"163",16450,3.78456605489906
"164",16550,3.05811702250432
"165",16650,2.5384152578935
"166",16750,1.8627847306692
"167",16850,2.16497891956742
"168",16950,3.7678623166521
"169",17050,5.00073114317127
"170",17150,5.95193777917044
"171",17250,6.73917913394119
"172",17350,7.06984855515138
"173",17450,5.40485888807826
"174",17550,9.62097488476579
"175",17650,10.7641967473136
"176",17750,9.71364800981345
"177",17850,10.953256268259
"178",17950,11.4971957992354
"179",18050,9.87425980341613
"180",18150,7.83137015281752
"181",18250,7.60295088719849
"182",18350,5.22942407494241
"183",18450,4.27378048264589
"184",18550,6.80526187379285
"185",18650,8.18696363680358
"186",18750,9.30787838655884
"187",18850,10.3249082804319
"188",18950,12.2219659931689
"189",19050,8.21442274682036
"190",19150,4.23028191628735
"191",19250,3.8810967994429
"192",19350,3.16891584664624
"193",19450,3.0047738257974
"194",19550,2.63043661387646
"195",19650,2.69333106122213
"196",19750,3.20672335126249
"197",19850,3.9735940020828
"198",19950,4.56393398276527
"199",20050,5.07434924588411
"200",20150,5.08555021237394
"201",20250,4.80442684923963
"202",20350,4.85427632926153
"203",20450,4.335681227359
"204",20550,3.90715251922503
"205",20650,3.66000154345478
"206",20750,3.50671816822281
"207",20850,3.0884255918852
