"term","n_models","sum_w","cond","cond_se","full","full_se","n_missing_se","z_full"
"d18O",16,0.729323563347464,0.241716484381,0.197390949434408,0.176289527708573,0.199877106277959,0,0.881989593462575
"mean_co2",16,0.729323563347464,-0.421421297910229,0.216961158888961,-0.307352482662402,0.263420116349245,0,-1.16677680855212
"heinrich",16,0.921820914318881,0.558605579655837,0.242290674646129,0.514934306181972,0.27677269121668,0,1.86049535421412
"char_acc",16,0.284621848250915,-0.0689001082670574,0.115131981091908,-0.019610476159658,0.0688430238865292,0,-0.284857855633725
"PrDens",16,0.32044467416417,-0.150796660997167,0.174706183117049,-0.0483219868982822,0.121377396782065,0,-0.398113554742364
"time",16,0.361039683670723,0.14350796519993,0.393949604415097,0.0518120703600119,0.246542032723151,0,0.210155119545855
