"var","c","longrun","reduced_logLik","dev","P"
"char_acc",-0.103082663753917,-0.669009474827594,-351.457893378916,0.931675072147868,0.334428036582045
"d18O",0.267569244446031,1.73653214990821,-351.931639885956,1.87916808622776,0.170428730288988
"heinrich",0.5567025146526,3.6130154518711,-354.093431890887,6.2027520960894,0.0127551832271914
"mean_co2",-0.415121488738356,-2.69415049104164,-353.372788503912,4.76146532213988,0.0291037609458476
"PrDens",-0.135823620938244,-0.88149923570076,-351.287410515645,0.59070934560566,0.442144950198042
