"term","n_models","sum_w","cond","cond_se","full","full_se","n_missing_se","z_full"
"d18O",16,0.969003712629634,0.143592926170328,0.199901499034663,0.1391420785664,0.198346361129805,0,0.70151061896891
"mean_co2",16,0.969003712629634,-0.476887374831056,0.221719339555036,-0.462105636717493,0.233380438586559,0,-1.98005299637014
"heinrich",16,0.812322644805781,0.492978269957766,0.253735239987743,0.40045741208387,0.298913486081185,0,1.33971008579755
"char_acc",16,0.233068071562388,0.00600639358523113,0.114106609413997,0.00139989856995452,0.0551458892926844,0,0.0253853657617999
"PrDens",16,0.563565712564538,-0.328410863792818,0.200202555391985,-0.185081102467335,0.221621170416931,0,-0.835123747966615
"time",16,0.916861506201624,0.306951481644221,0.136759603945581,0.28143199779114,0.15598151688414,0,1.80426503994177
