"block","time_lin","time_hol"
"CLIM",0.969003712629634,0.729323563347464
"ABRUPT",0.812322644805781,0.921820914318881
"FIRE",0.233068071562388,0.284621848250915
"HUMAN",0.563565712564538,0.32044467416417
"TIME",0.916861506201624,0.361039683670723
