"interaction","k","logLik","spread","AICc","dAICc","dev","df","P"
"none",8,-373.396490421741,0.0341773759940907,764.738926789427,0.736612360341269,0,0,NA
"d18O:mean_co2",9,-373.068372525495,0.0570435700769849,766.602498475648,2.60018404656205,0.656235792490861,1,0.417892003897782
"d18O:PrDens",9,-373.335703868175,0.143620399111512,767.137161161008,3.13484673192204,0.121573107130871,1,0.727334551458893
"d18O:time",9,-372.030848061311,0.0559060240846634,764.52744954728,0.52513511819393,2.73128472085898,1,0.0984001013345149
"mean_co2:PrDens",9,-373.362180540921,1.48113023009176,767.1901145065,3.18780007741361,0.0686197616392974,1,0.793357107592163
"mean_co2:time",9,-371.768280502214,0.595856765036103,764.002314429086,0,3.25641983905291,1,0.0711442978788328
"PrDens:time",9,-373.361750807702,0.431972033406282,767.189255040062,3.18694061097574,0.0694792280771708,1,0.792096537408143
"all",14,-371.311513885127,16.1369442560932,776.799498358489,12.7971839294028,4.16995307322782,6,0.653689315647378
