"term","c","c_se","longrun","longrun_se","c_lo","c_hi","lr_lo","lr_hi"
"char_acc",-0.103082663753917,0.11489200415695,-0.669009474827594,0.628423891310747,-0.328266854013166,0.122101526505331,-1.90069766882117,0.562678719165983
"d18O",0.267569244446031,0.200915632723496,1.73653214990821,1.40817583531301,-0.126218159623099,0.66135664851516,-1.02344177120491,4.49650607102132
"heinrich",0.5567025146526,0.25640041830624,3.6130154518711,1.73053601484115,0.0541669291513652,1.05923810015383,0.221227188832978,7.00480371490922
"mean_co2",-0.415121488738356,0.212463302846218,-2.69415049104164,1.39030211255286,-0.83154191035337,0.00129893287665778,-5.4190925592752,0.0307915771919265
"PrDens",-0.135823620938244,0.180528996774698,-0.88149923570076,1.11039573583183,-0.489653952781799,0.218006710905311,-3.057834886518,1.29483641511648
