"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"1207","4A",1565,1,33,"14L",24,1703,65156.5,62780.6,67723.1,30.5,1.08196721311475
"1208","4A",1566,1,18,"14L",25,1704,65220,62793.6,67839.65,63.5,0.283464566929134
"1209","4A",1567,1,6,"14L",26,1705,65261,62813.45,67899,40.9999999999927,0.14634146341466
"1210","4A",1568,1,29,"14L",27,1706,65287.5,62828.9,67930.4,26.5000000000073,1.09433962264121
"1211","4A",1569,1,34,"14L",28,1707,65314.5,62884.05,67962,27,1.25925925925926
"1212","4A",1570,1,21,"14L",29,1708,65355,62913.85,67993.45,40.5000000000073,0.518518518518425
"1213","4A",1571,1,22,"14L",30,1709,65376.5,62953.85,68045.75,21.4999999999927,1.02325581395383
"1214","4A",1572,1,82,"14L",31,1710,65401,62981.65,68114.5,24.5,3.3469387755102
"1215","4A",1573,1,300,"14L",32,1711,65455.5,63028.6,68123,54.5,5.5045871559633
"1216","4A",1574,1,124,"14L",33,1712,65503.5,63066.7,68175.2,48,2.58333333333333
"1217","4A",1575,1,17,"14L",34,1713,65525.5,63084.75,68220.95,22,0.772727272727273
"1218","4A",1576,1,44,"14L",35,1714,65565.5,63113.95,68327,40,1.1
"1219","4A",1577,1,14,"14L",36,1715,65608,63150.25,68371.85,42.5,0.329411764705882
"1220","4A",1578,1,21,"14L",37,1716,65654.5,63170.95,68427.25,46.5,0.451612903225806
"1221","4A",1579,1,18,"14L",38,1717,65709,63205.2,68460.05,54.5,0.330275229357798
"1222","4A",1580,1,28,"14L",39,1718,65740.5,63231.25,68527.45,31.5,0.888888888888889
"1223","4A",1581,1,53,"14L",40,1719,65762,63247,68570.05,21.5,2.46511627906977
"1224","4A",1582,1,30,"14L",41,1720,65805,63260,68591.25,43,0.697674418604651
"1225","4A",1583,1,31,"14L",42,1721,65843,63283.45,68679.75,38,0.815789473684211
"1226","4A",1584,1,25,"14L",43,1722,65870,63307.85,68736.4,27,0.925925925925926
"1227","4A",1585,1,31,"14L",44,1723,65909.5,63353.95,68803.75,39.5,0.784810126582278
"1228","4A",1586,1,27,"14L",45,1724,65946.5,63371.5,68848.4,37,0.72972972972973
"1229","4A",1587,1,11,"14L",46,1725,65977.5,63383.95,68918.35,31,0.354838709677419
"1230","4A",1588,1,45,"14L",47,1726,66023.5,63408.7,68937.35,46,0.978260869565217
"1231","4A",1589,1,137,"14L",48,1727,66062.5,63432.8,69006.7,39,3.51282051282051
"1232","4A",1590,1,113,"14L",49,1728,66094.5,63457.5,69066.35,32,3.53125
"1233","4A",1591,1,12,"14L",50,1729,66131,63485.8,69073.6,36.5,0.328767123287671
"1234","4A",1592,1,42,"14L",51,1730,66165.5,63522.9,69128.8,34.5,1.21739130434783
"1235","4A",1593,1,26,"14L",52,1731,66198,63560.6,69189.05,32.5,0.8
"1236","4A",1594,1,35,"14L",53,1732,66236,63611.4,69216.65,38,0.921052631578947
"1237","4A",1595,1,45,"14L",54,1733,66271.5,63638.9,69354.2,35.5,1.26760563380282
"1238","4A",1596,1,293,"14L",55,1734,66330,63666.15,69388.3,58.5,5.00854700854701
